iter	Passed	Remaining
0	60	60598
1	60	30401
2	61	20326
3	61	15287
4	61	12265
5	61	10249
6	62	8809
7	62	7730
8	62	6890
9	62	6217
10	63	5667
11	63	5213
12	63	4825
13	63	4492
14	64	4203
15	64	3951
16	64	3728
17	64	3529
18	64	3351
19	65	3192
20	65	3047
21	65	2915
22	65	2795
23	66	2686
24	66	2585
25	66	2491
26	66	2405
27	66	2324
28	67	2249
29	67	2180
30	67	2114
31	67	2053
32	68	1995
33	68	1941
34	68	1890
35	68	1842
36	69	1796
37	69	1752
38	69	1711
39	69	1672
40	69	1635
41	70	1600
42	70	1566
43	70	1534
44	70	1503
45	71	1474
46	71	1446
47	71	1418
48	71	1393
49	72	1368
50	72	1346
51	72	1323
52	72	1301
53	73	1279
54	73	1259
55	73	1239
56	73	1221
57	74	1204
58	74	1187
59	74	1170
60	74	1154
61	75	1137
62	75	1121
63	75	1106
64	75	1091
65	76	1077
66	76	1063
67	76	1049
68	76	1036
69	77	1023
70	77	1011
71	77	998
72	77	987
73	77	975
74	78	964
75	78	953
76	78	942
77	78	932
78	79	922
79	79	912
80	79	902
81	79	892
82	79	882
83	80	873
84	80	864
85	80	855
86	80	847
87	80	838
88	81	830
89	81	823
90	81	815
91	81	807
92	82	800
93	82	793
94	82	786
95	82	780
96	83	773
97	83	767
98	83	760
99	83	754
100	84	748
101	84	742
102	84	736
103	84	730
104	85	725
105	85	719
106	85	713
107	85	708
108	86	703
109	86	698
110	86	692
111	86	688
112	87	683
113	87	678
114	87	674
115	87	669
116	88	664
117	88	660
118	88	655
119	88	651
120	89	647
121	89	642
122	89	640
123	90	636
124	90	632
125	90	628
126	90	624
127	91	620
128	91	616
129	91	612
130	91	609
131	92	605
132	92	602
133	92	598
134	92	595
135	93	591
136	93	588
137	93	585
138	93	581
139	94	579
140	94	576
141	94	572
142	95	570
143	95	567
144	95	564
145	96	562
146	96	559
147	96	556
148	96	553
149	97	550
150	97	549
151	97	546
152	98	543
153	98	540
154	98	537
155	98	535
156	99	532
157	99	530
158	99	527
159	99	524
160	100	521
161	100	519
162	100	516
163	100	514
164	101	511
165	101	508
166	101	506
167	101	503
